"Country","Respondent","UrbanRural","Age","EconomicSituation","LivingConditions","Interest","Religion","TaxMorale","TrustPresident","TrustParliament","TrustCourts","CorruptionPresident","CorruptionParliament","CorruptionOfficials","CorruptionCouncilors","CorruptionTax","Gender","AvoidHowOften","TrustTax","SelfEmployedTax","AvoidReason","EconomicPolicies","LocalGvtTaxes","Enforce1","Enforce2","CorruptionOfficialsLocal","CorruptionOfficialsNational","Year"
1,"BEN0037",1,25,1,1,3,0,1,9,9,0,0,0,NA,0,0,1,NA,NA,NA,NA,1,1,1,4,0,0,2005
1,"BEN0060",1,66,2,2,3,0,1,2,1,0,9,9,NA,9,9,1,NA,NA,NA,NA,1,1,4,4,9,9,2005
1,"BEN0105",1,40,2,2,2,1,4,1,1,1,1,1,NA,1,1,2,NA,NA,NA,NA,3,2,2,3,1,1,2005
1,"BEN0145",2,25,1,1,3,3,4,0,1,0,3,3,NA,1,3,2,NA,NA,NA,NA,4,1,1,4,3,3,2005
1,"BEN0150",2,38,1,1,3,2,5,0,0,0,2,2,NA,2,2,1,NA,NA,NA,NA,3,1,1,3,2,2,2005
1,"BEN0172",2,27,1,1,0,2,1,1,0,1,2,3,NA,3,1,1,NA,NA,NA,NA,5,3,1,4,3,3,2005
1,"BEN0176",1,37,1,1,2,2,1,0,1,1,2,2,NA,2,2,1,NA,NA,NA,NA,4,2,1,4,2,2,2005
1,"BEN0207",1,36,1,3,2,2,3,1,1,1,3,3,NA,3,3,2,NA,NA,NA,NA,4,1,1,4,3,3,2005
1,"BEN0210",1,54,3,3,2,0,4,3,3,3,3,3,NA,3,3,1,NA,NA,NA,NA,4,4,3,3,3,3,2005
1,"BEN0219",2,25,2,2,3,2,1,1,1,2,1,1,NA,1,1,1,NA,NA,NA,NA,3,3,2,4,2,1,2005
1,"BEN0221",2,43,2,1,3,2,4,3,3,3,3,3,NA,3,3,1,NA,NA,NA,NA,2,3,2,4,3,3,2005
1,"BEN0223",2,60,2,1,3,2,1,0,1,1,3,3,NA,3,3,1,NA,NA,NA,NA,3,3,2,4,3,3,2005
1,"BEN0233",2,19,1,1,3,2,1,3,3,1,3,3,NA,1,3,1,NA,NA,NA,NA,4,2,3,4,3,2,2005
1,"BEN0241",2,25,1,1,3,2,1,1,3,1,3,3,NA,3,3,1,NA,NA,NA,NA,4,1,2,4,3,3,2005
1,"BEN0245",1,45,3,2,3,2,2,3,3,3,3,3,NA,3,3,1,NA,NA,NA,NA,3,3,2,4,3,3,2005
1,"BEN0257",2,32,1,1,3,2,4,2,2,2,1,1,NA,1,1,1,NA,NA,NA,NA,4,3,4,4,1,1,2005
1,"BEN0259",1,36,1,1,3,2,1,3,3,0,3,3,NA,1,3,1,NA,NA,NA,NA,4,2,4,4,3,3,2005
1,"BEN0261",1,40,1,1,3,2,4,0,0,0,1,1,NA,1,1,1,NA,NA,NA,NA,4,3,4,4,1,1,2005
1,"BEN0265",1,22,2,3,3,2,2,0,1,0,1,1,NA,1,1,1,NA,NA,NA,NA,4,3,4,4,1,1,2005
1,"BEN0273",1,31,2,2,3,2,4,3,0,0,3,3,NA,3,3,1,NA,NA,NA,NA,4,2,4,4,3,3,2005
1,"BEN0275",1,58,3,3,3,2,5,1,1,0,1,1,NA,1,1,1,NA,NA,NA,NA,4,2,4,3,1,1,2005
1,"BEN0277",1,19,3,4,3,2,4,0,1,1,2,1,NA,1,1,1,NA,NA,NA,NA,3,3,4,4,1,1,2005
1,"BEN0327",1,23,1,1,2,0,5,2,2,2,3,1,NA,9,2,1,NA,NA,NA,NA,4,3,1,4,3,9,2005
1,"BEN0360",1,22,1,3,2,0,1,9,9,1,9,9,NA,9,1,1,NA,NA,NA,NA,1,2,1,4,1,9,2005
1,"BEN0414",2,31,3,3,3,2,5,3,0,1,1,1,NA,1,3,1,NA,NA,NA,NA,4,3,1,4,1,1,2005
1,"BEN0418",2,29,2,3,0,1,5,3,3,2,2,2,NA,2,2,2,NA,NA,NA,NA,4,3,1,4,2,2,2005
1,"BEN0423",2,25,1,2,0,2,1,0,1,2,2,2,NA,2,3,1,NA,NA,NA,NA,4,3,1,3,2,2,2005
1,"BEN0517",1,21,4,5,0,0,5,3,3,3,9,9,NA,0,0,1,NA,NA,NA,NA,1,4,1,4,1,9,2005
1,"BEN0533",1,35,3,3,3,2,5,2,1,0,2,2,NA,2,3,1,NA,NA,NA,NA,4,3,3,3,2,2,2005
1,"BEN0534",1,24,3,3,3,3,1,3,1,0,1,1,NA,1,3,1,NA,NA,NA,NA,4,4,1,4,1,9,2005
1,"BEN0536",1,50,1,1,-1,2,5,0,0,0,3,3,NA,3,3,1,NA,NA,NA,NA,4,-1,1,4,3,3,2005
1,"BEN0754",2,20,2,1,0,2,3,0,2,1,2,2,NA,2,2,1,NA,NA,NA,NA,4,9,3,3,2,2,2005
1,"BEN0755",2,30,2,1,1,2,3,1,1,3,1,1,NA,1,3,2,NA,NA,NA,NA,3,1,2,4,1,1,2005
1,"BEN0756",2,18,2,1,0,1,3,1,1,1,2,2,NA,2,3,1,NA,NA,NA,NA,4,3,3,3,2,2,2005
1,"BEN0757",2,51,2,2,1,0,3,3,0,2,1,1,NA,1,2,1,NA,NA,NA,NA,3,2,1,4,1,1,2005
1,"BEN0766",1,60,2,1,2,1,3,3,3,2,2,1,NA,1,3,1,NA,NA,NA,NA,3,3,2,3,2,1,2005
1,"BEN0767",1,65,2,1,1,0,3,1,1,2,1,1,NA,2,3,2,NA,NA,NA,NA,3,2,2,3,1,1,2005
1,"BEN0769",2,60,2,1,0,1,4,0,0,1,2,2,NA,2,3,1,NA,NA,NA,NA,3,2,2,4,1,1,2005
1,"BEN0770",2,32,2,1,2,2,4,0,0,9,2,2,NA,1,3,1,NA,NA,NA,NA,3,2,2,4,2,1,2005
1,"BEN0771",2,36,2,1,0,2,3,0,0,1,2,2,NA,2,3,2,NA,NA,NA,NA,3,2,2,4,2,1,2005
1,"BEN0772",2,50,2,1,2,1,3,3,0,0,1,2,NA,2,3,1,NA,NA,NA,NA,3,2,2,4,2,2,2005
1,"BEN0779",2,29,1,2,1,0,3,2,1,0,1,2,NA,1,3,1,NA,NA,NA,NA,3,3,2,3,2,3,2005
