"Country","Year","Respondent","UrbanRural","Age","EconomicSituation","LivingConditions","Interest","Religion","TaxMorale","TrustPresident","TrustParliament","TrustCourts","CorruptionPresident","CorruptionParliament","CorruptionOfficials","CorruptionCouncilors","CorruptionTax","Gender","AvoidHowOften","TrustTax","SelfEmployedTax","AvoidReason","EconomicPolicies","LocalGvtTaxes","Enforce1","Enforce2","CorruptionOfficialsLocal","CorruptionOfficialsNational"
1,2015,"ALG0001",2,48,4,4,2,0,2,3,1,1,1,1,2,3,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1,2015,"ALG0002",2,36,4,5,1,0,3,2,1,1,2,1,3,3,1,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA
1,2015,"ALG0003",2,34,3,3,2,0,4,2,2,1,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA
1,2015,"ALG0004",2,23,4,4,2,0,4,2,1,1,1,1,2,3,9,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1,2015,"ALG0005",2,41,2,1,2,2,2,2,0,2,9,1,1,1,2,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA
1,2015,"ALG0006",2,38,3,4,1,0,4,2,9,2,1,9,9,9,9,2,0,9,NA,NA,NA,NA,NA,NA,NA,NA
1,2015,"ALG0007",2,45,3,3,1,0,4,3,1,3,2,3,1,3,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA
1,2015,"ALG0008",2,20,3,3,2,0,4,2,1,1,9,9,1,1,9,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1,2015,"ALG0009",2,50,5,4,2,0,3,3,0,2,0,1,2,1,3,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA
1,2015,"ALG0010",2,21,4,4,1,0,4,2,2,2,1,1,2,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA
1,2015,"ALG0011",2,23,4,4,1,0,9,2,9,9,0,1,1,1,9,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA
1,2015,"ALG0012",2,34,4,4,0,0,2,1,0,1,0,1,1,1,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1,2015,"ALG0013",2,36,4,3,0,0,2,3,2,3,1,1,1,2,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA
1,2015,"ALG0014",2,35,2,2,0,0,4,2,1,2,0,0,1,1,1,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA
1,2015,"ALG0015",2,61,2,4,1,0,3,3,1,2,0,0,1,0,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA
1,2015,"ALG0016",2,23,2,4,2,0,2,1,9,2,0,1,2,2,1,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA
1,2015,"ALG0017",2,22,4,1,1,0,4,3,2,2,0,0,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1,2015,"ALG0018",2,19,4,2,2,0,2,2,2,2,0,0,1,1,0,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA
