"Country","Year","Respondent","UrbanRural","Age","EconomicSituation","LivingConditions","Interest","Religion","TaxMorale","TrustPresident","TrustParliament","TrustCourts","CorruptionPresident","CorruptionParliament","CorruptionOfficials","CorruptionCouncilors","CorruptionTax","Gender","AvoidHowOften","TrustTax","SelfEmployedTax","AvoidReason","EconomicPolicies","LocalGvtTaxes","Enforce1","Enforce2","CorruptionOfficialsLocal","CorruptionOfficialsNational"
"Benin",2005,"BEN0037_2005",1,25,1,1,4,1,1,NA,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,1,1,1,4,1,1
"Benin",2005,"BEN0060_2005",1,66,2,2,4,1,1,3,2,1,NA,NA,NA,9,NA,1,NA,NA,NA,NA,1,1,4,4,NA,NA
"Benin",2005,"BEN0105_2005",1,40,2,2,3,2,4,2,2,2,2,2,NA,2,2,2,NA,NA,NA,NA,3,2,2,3,2,2
"Benin",2005,"BEN0145_2005",2,25,1,1,4,4,4,1,2,1,4,4,NA,2,4,2,NA,NA,NA,NA,4,1,1,4,4,4
"Benin",2005,"BEN0150_2005",2,38,1,1,4,3,5,1,1,1,3,3,NA,3,3,1,NA,NA,NA,NA,3,1,1,3,3,3
"Benin",2005,"BEN0172_2005",2,27,1,1,1,3,1,2,1,2,3,4,NA,4,2,1,NA,NA,NA,NA,NA,3,1,4,4,4
"Benin",2005,"BEN0176_2005",1,37,1,1,3,3,1,1,2,2,3,3,NA,3,3,1,NA,NA,NA,NA,4,2,1,4,3,3
"Benin",2005,"BEN0207_2005",1,36,1,3,3,3,3,2,2,2,4,4,NA,4,4,2,NA,NA,NA,NA,4,1,1,4,4,4
"Benin",2005,"BEN0210_2005",1,54,3,3,3,1,4,4,4,4,4,4,NA,4,4,1,NA,NA,NA,NA,4,4,3,3,4,4
"Benin",2005,"BEN0219_2005",2,25,2,2,4,3,1,2,2,3,2,2,NA,2,2,1,NA,NA,NA,NA,3,3,2,4,3,2
"Benin",2005,"BEN0221_2005",2,43,2,1,4,3,4,4,4,4,4,4,NA,4,4,1,NA,NA,NA,NA,2,3,2,4,4,4
"Benin",2005,"BEN0223_2005",2,60,2,1,4,3,1,1,2,2,4,4,NA,4,4,1,NA,NA,NA,NA,3,3,2,4,4,4
"Benin",2005,"BEN0233_2005",2,19,1,1,4,3,1,4,4,2,4,4,NA,2,4,1,NA,NA,NA,NA,4,2,3,4,4,3
"Benin",2005,"BEN0241_2005",2,25,1,1,4,3,1,2,4,2,4,4,NA,4,4,1,NA,NA,NA,NA,4,1,2,4,4,4
"Benin",2005,"BEN0245_2005",1,45,3,2,4,3,2,4,4,4,4,4,NA,4,4,1,NA,NA,NA,NA,3,3,2,4,4,4
"Benin",2005,"BEN0257_2005",2,32,1,1,4,3,4,3,3,3,2,2,NA,2,2,1,NA,NA,NA,NA,4,3,4,4,2,2
"Benin",2005,"BEN0259_2005",1,36,1,1,4,3,1,4,4,1,4,4,NA,2,4,1,NA,NA,NA,NA,4,2,4,4,4,4
"Benin",2005,"BEN0261_2005",1,40,1,1,4,3,4,1,1,1,2,2,NA,2,2,1,NA,NA,NA,NA,4,3,4,4,2,2
"Benin",2005,"BEN0265_2005",1,22,2,3,4,3,2,1,2,1,2,2,NA,2,2,1,NA,NA,NA,NA,4,3,4,4,2,2
"Benin",2005,"BEN0273_2005",1,31,2,2,4,3,4,4,1,1,4,4,NA,4,4,1,NA,NA,NA,NA,4,2,4,4,4,4
"Benin",2005,"BEN0275_2005",1,58,3,3,4,3,5,2,2,1,2,2,NA,2,2,1,NA,NA,NA,NA,4,2,4,3,2,2
"Benin",2005,"BEN0277_2005",1,19,3,4,4,3,4,1,2,2,3,2,NA,2,2,1,NA,NA,NA,NA,3,3,4,4,2,2
"Benin",2005,"BEN0327_2005",1,23,1,1,3,1,5,3,3,3,4,2,NA,9,3,1,NA,NA,NA,NA,4,3,1,4,4,NA
"Benin",2005,"BEN0360_2005",1,22,1,3,3,1,1,NA,NA,2,NA,NA,NA,9,2,1,NA,NA,NA,NA,1,2,1,4,2,NA
"Benin",2005,"BEN0414_2005",2,31,3,3,4,3,5,4,1,2,2,2,NA,2,4,1,NA,NA,NA,NA,4,3,1,4,2,2
"Benin",2005,"BEN0418_2005",2,29,2,3,1,2,5,4,4,3,3,3,NA,3,3,2,NA,NA,NA,NA,4,3,1,4,3,3
"Benin",2005,"BEN0423_2005",2,25,1,2,1,3,1,1,2,3,3,3,NA,3,4,1,NA,NA,NA,NA,4,3,1,3,3,3
"Benin",2005,"BEN0517_2005",1,21,4,5,1,1,5,4,4,4,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,4,1,4,2,NA
"Benin",2005,"BEN0533_2005",1,35,3,3,4,3,5,3,2,1,3,3,NA,3,4,1,NA,NA,NA,NA,4,3,3,3,3,3
"Benin",2005,"BEN0534_2005",1,24,3,3,4,4,1,4,2,1,2,2,NA,2,4,1,NA,NA,NA,NA,4,4,1,4,2,NA
"Benin",2005,"BEN0536_2005",1,50,1,1,NA,3,5,1,1,1,4,4,NA,4,4,1,NA,NA,NA,NA,4,NA,1,4,4,4
"Benin",2005,"BEN0754_2005",2,20,2,1,1,3,3,1,3,2,3,3,NA,3,3,1,NA,NA,NA,NA,4,9,3,3,3,3
"Benin",2005,"BEN0755_2005",2,30,2,1,2,3,3,2,2,4,2,2,NA,2,4,2,NA,NA,NA,NA,3,1,2,4,2,2
"Benin",2005,"BEN0756_2005",2,18,2,1,1,2,3,2,2,2,3,3,NA,3,4,1,NA,NA,NA,NA,4,3,3,3,3,3
"Benin",2005,"BEN0757_2005",2,51,2,2,2,1,3,4,1,3,2,2,NA,2,3,1,NA,NA,NA,NA,3,2,1,4,2,2
"Benin",2005,"BEN0766_2005",1,60,2,1,3,2,3,4,4,3,3,2,NA,2,4,1,NA,NA,NA,NA,3,3,2,3,3,2
"Benin",2005,"BEN0767_2005",1,65,2,1,2,1,3,2,2,3,2,2,NA,3,4,2,NA,NA,NA,NA,3,2,2,3,2,2
"Benin",2005,"BEN0769_2005",2,60,2,1,1,2,4,1,1,2,3,3,NA,3,4,1,NA,NA,NA,NA,3,2,2,4,2,2
"Benin",2005,"BEN0770_2005",2,32,2,1,3,3,4,1,1,NA,3,3,NA,2,4,1,NA,NA,NA,NA,3,2,2,4,3,2
"Benin",2005,"BEN0771_2005",2,36,2,1,1,3,3,1,1,2,3,3,NA,3,4,2,NA,NA,NA,NA,3,2,2,4,3,2
"Benin",2005,"BEN0772_2005",2,50,2,1,3,2,3,4,1,1,2,3,NA,3,4,1,NA,NA,NA,NA,3,2,2,4,3,3
"Benin",2005,"BEN0779_2005",2,29,1,2,2,1,3,3,2,1,2,3,NA,2,4,1,NA,NA,NA,NA,3,3,2,3,3,4
"Benin",2005,"BEN0800_2005",1,22,2,1,3,2,3,2,2,2,3,3,NA,3,3,1,NA,NA,NA,NA,3,1,2,2,3,3
"Benin",2005,"BEN0801_2005",1,50,1,1,3,2,4,4,3,2,3,3,NA,3,4,2,NA,NA,NA,NA,3,1,3,3,3,3
"Benin",2005,"BEN0817_2005",2,22,1,1,4,2,4,1,2,1,4,4,NA,2,4,1,NA,NA,NA,NA,4,2,1,4,4,NA
"Benin",2005,"BEN0831_2005",2,19,1,1,3,3,4,4,3,2,2,2,NA,2,4,1,NA,NA,NA,NA,4,9,4,3,3,NA
"Benin",2005,"BEN0854_2005",2,34,1,1,4,1,1,4,2,1,NA,NA,NA,1,4,1,NA,NA,NA,NA,2,3,4,3,NA,1
"Benin",2005,"BEN0865_2005",1,41,1,1,3,4,4,2,3,1,4,4,NA,3,4,1,NA,NA,NA,NA,4,3,1,4,4,NA
"Benin",2005,"BEN0868_2005",2,35,1,1,3,4,4,3,3,1,NA,NA,NA,9,4,1,NA,NA,NA,NA,4,9,1,3,3,NA
"Benin",2005,"BEN0898_2005",2,30,1,2,4,1,5,3,3,3,4,4,NA,4,4,1,NA,NA,NA,NA,4,3,1,4,4,4
"Benin",2005,"BEN0901_2005",2,35,1,1,4,1,4,4,4,1,4,4,NA,4,4,1,NA,NA,NA,NA,2,3,2,4,4,2
"Benin",2005,"BEN0903_2005",2,35,4,4,4,3,4,1,4,1,4,2,NA,4,4,1,NA,NA,NA,NA,1,3,1,4,4,4
"Benin",2005,"BEN0927_2005",2,30,1,1,2,1,1,4,4,1,4,4,NA,4,4,2,NA,NA,NA,NA,4,1,1,4,4,4
"Benin",2005,"BEN0938_2005",2,22,1,1,4,3,4,1,2,1,3,3,NA,3,4,1,NA,NA,NA,NA,4,3,1,4,3,3
"Benin",2005,"BEN0963_2005",2,35,1,2,4,1,4,4,4,4,NA,NA,NA,9,NA,2,NA,NA,NA,NA,3,4,1,4,NA,NA
"Benin",2005,"BEN1049_2005",1,35,4,4,1,2,4,4,4,4,1,1,NA,1,1,1,NA,NA,NA,NA,1,9,2,3,1,1
"Benin",2005,"BEN0446_2005",1,38,2,2,2,1,5,2,2,2,4,4,NA,4,4,1,NA,NA,NA,NA,4,4,4,4,4,4
"Benin",2005,"BEN0073_2005",1,32,4,3,2,1,4,4,4,2,2,2,NA,2,3,2,NA,NA,NA,NA,2,2,3,3,2,2
"Benin",2005,"BEN0134_2005",1,35,2,2,3,3,4,2,1,3,2,2,NA,2,4,1,NA,NA,NA,NA,3,3,3,3,3,2
"Benin",2005,"BEN0295_2005",1,23,2,2,4,3,5,2,2,2,3,2,NA,3,3,1,NA,NA,NA,NA,4,4,1,4,3,3
"Benin",2005,"BEN0849_2005",2,25,1,1,2,1,4,4,4,1,NA,NA,NA,1,4,2,NA,NA,NA,NA,4,9,1,4,3,NA
"Benin",2005,"BEN0791_2005",2,30,2,1,3,1,4,1,1,2,3,3,NA,3,3,1,NA,NA,NA,NA,3,2,2,2,3,3
"Benin",2005,"BEN0011_2005",2,29,2,2,4,3,1,4,4,4,3,3,NA,3,1,1,NA,NA,NA,NA,4,1,4,3,NA,3
"Benin",2005,"BEN0065_2005",1,28,2,2,4,3,1,1,4,1,1,2,NA,1,1,1,NA,NA,NA,NA,4,2,4,1,1,1
"Benin",2005,"BEN0074_2005",1,35,4,3,3,3,4,2,3,2,3,2,NA,3,3,1,NA,NA,NA,NA,2,2,1,2,3,2
"Benin",2005,"BEN0077_2005",2,65,2,3,4,3,4,2,2,3,2,2,NA,2,2,1,NA,NA,NA,NA,3,2,1,3,2,3
"Benin",2005,"BEN0092_2005",2,31,1,1,3,2,4,2,2,2,2,3,NA,3,3,1,NA,NA,NA,NA,3,2,1,3,3,3
"Benin",2005,"BEN0110_2005",1,52,1,2,4,3,3,3,1,1,2,2,NA,2,4,1,NA,NA,NA,NA,4,3,1,1,2,2
"Benin",2005,"BEN0114_2005",1,45,1,1,3,3,3,1,2,3,3,3,NA,2,3,1,NA,NA,NA,NA,3,3,1,3,3,3
"Benin",2005,"BEN0116_2005",1,38,1,1,3,3,4,2,1,1,2,2,NA,2,3,1,NA,NA,NA,NA,3,3,1,1,2,2
"Benin",2005,"BEN0132_2005",1,22,3,3,3,3,3,3,2,2,2,2,NA,2,3,1,NA,NA,NA,NA,1,3,3,3,2,2
"Benin",2005,"BEN0138_2005",1,21,3,3,3,3,4,2,2,2,2,2,NA,2,4,1,NA,NA,NA,NA,3,3,3,2,2,2
"Benin",2005,"BEN0140_2005",1,45,3,3,3,3,4,2,2,2,2,2,NA,2,2,1,NA,NA,NA,NA,3,2,3,3,2,1
"Benin",2005,"BEN0156_2005",2,60,1,1,2,3,5,1,2,1,3,2,NA,2,4,1,NA,NA,NA,NA,4,1,1,4,3,2
"Benin",2005,"BEN0171_2005",2,24,1,1,1,3,4,2,2,2,2,3,NA,3,4,2,NA,NA,NA,NA,4,3,1,3,3,3
"Benin",2005,"BEN0177_2005",1,56,1,1,3,1,5,1,2,1,4,2,NA,9,4,2,NA,NA,NA,NA,4,9,1,4,4,1
"Benin",2005,"BEN0180_2005",1,19,1,1,4,3,5,4,4,1,2,2,NA,2,4,1,NA,NA,NA,NA,4,9,1,4,2,2
"Benin",2005,"BEN0181_2005",1,65,1,1,1,1,5,1,2,2,3,2,NA,1,4,1,NA,NA,NA,NA,4,9,1,4,4,4
"Benin",2005,"BEN0184_2005",1,45,1,1,1,3,4,2,1,1,4,4,NA,2,4,1,NA,NA,NA,NA,4,1,1,4,4,2
